title,url,description,eligibility,benefits,how_to_apply,documents,application_link
,https://www.myscheme.gov.in/schemes/cmssg,"The scheme ""Chief Minister Scholarship Scheme"" by the Education Department, Government of Gujarat, aims to provide financial assistance to meritorious students for pursuing medical, engineering, diploma, and higher education courses.","- The applicant must be a resident of Gujarat.
- The applicant must be a student.
- The applicant must have passed the Class 10th or Class 12th examination.
- The applicant must have secured admission in a diploma course, a degree course after diploma, or a degree course after Class 12th.
- The applicant must be pursuing medical, dental, engineering, technology, pharmacy, Ayurveda, homeopathy, nursing, physiotherapy, para-medical, or higher education courses.
- The applicant must have a family annual income of less than or equal to ₹4,50,000/-.",,,,
,https://www.myscheme.gov.in/schemes/csss-cus,A scholarship scheme by the Dept. of Higher Education to provide financial assistance to meritorious students from poor families to meet a part of their day-to-day expenses while pursuing higher studies. The scholarships are awarded on the basis of results of Higher Secondary / Class 12th Board Exam,"- The applicant must be above the 80th percentile of successful candidates in the relevant stream from the respective Board of Examination in Class 12th of 10+2 pattern or equivalent.
- The applicant must be pursuing regular degree courses.
- The applicant must be pursuing courses at colleges/ institutions recognized by the All India Council for Technical Education and the respective Regulatory Bodies concerned.
- The gross parental/ family income of the applicant should not exceed ₹4,50,000/- per annum.
- For renewal of scholarship in each year of study, besides getting at least 50% marks in the Annual Examination, maintenance of adequate attendance should be at least 75%.
- The students are required to have Aadhaar seeded bank accounts opened in their name.","- ₹12,000/-per annum at the Graduation level for the first three years of College and University courses.
- ₹20,000 per annum at the Post-graduation level.
- ₹20,000/-per annum in the 4th and 5th year to the Students pursuing professional courses, in case, where the duration of the course is five (5) years/Integrated course.
- Students pursuing technical courses such as B.Tech, B.Engg. will get scholarship up to graduation level only i.e. ₹12,000 p.a. for 1st, 2nd, and 3rd year and ₹20,000 in the 4th year.",,,
,https://www.myscheme.gov.in/schemes/dbramascs,"""Dr. B.R. Ambedkar Memorial Award to Scheduled Caste Students” was introduced by the Adi Dravidar Welfare Dept, Govt of Puducherry, is granted to top ranking boy and girl student in each region (Pondicherry, Karaikal and Yanam) who have secured 55% marks in the Higher Secondary Examination.","- The applicant should be from a Scheduled Caste.
- The applicant should be a Student.
- The applicant should have secured 55% or above marks in the Higher Secondary Examination.
- The applicant should be a Native/Resident of the Union Territory of Puducherry for not less than 5 years.",,,,
,https://www.myscheme.gov.in/schemes/des-sdspdpgc,"The scheme “Distance Education Scholarship–Scholarship for Disabled Students Pursuing Degree, PG Courses” was launched by the Department of Social Justice, Government of Kerala.","- The applicant should be a permanent resident of Kerala.
- The applicant should be a differently abled student.
- The differently abled students pursuing Degrees, PG courses through Open universities, Distance education, or through Private registration (Universities inside Kerala) are eligible to apply for scholarships.
- The annual family income of the student should not exceed ₹1,00,000/-.
- Only those students who are appearing for the exam each year will be eligible for further financial assistance.","- Under the scheme, the scholarship is given to eligible students for meeting the expenses of Registration fees, Course fees, Tuition fees, Exam fees, Purchase of books, study materials, etc.
- The amount of assistance is provided up to a maximum of ₹10,000/-.",,,https://suneethi.sjd.kerala.gov.in
,https://www.myscheme.gov.in/schemes/dssmp,"""Divyangjan Scholarship Scheme"" provides financial assistance for the education and training of differently-abled children, who are regular students in a school or college. The application needs to be submitted to the District Office, Panchayat and Social Welfare / Janpad Panchayat Office.","- The applicant should be a resident of Chhattisgarh.
- The applicant should be a Student.
- The applicant should be differently-abled.
- The applicant should have a disability of 40% or above.
- The applicant should be a regular student in a college/technical school.","- ₹150/- per month for the Students of 1st to 5th Standard
- ₹170/- per month for the Students of 6th to 8th Standard
- ₹190/- per month for the Students of 9th to 12th Standard",,,https://sw.cg.gov.in/sites/default/files/divyangscholarshipscheme.pdf
,https://www.myscheme.gov.in/schemes/ehttg,Rajasthan Government started a scholarship for tribal girls higher education (College Level) In the year 1994-95.,"- The girl student should belong to the tribal class of Rajasthan.
- The girl student should be regularly studying general education in a private/government college.
- The parent/guardian/guardian/husband of the student should not be an income taxpayer.
- After passing the board examination, there should not be any gap in the continuous study of the student applying for the scheme.
- The student who is studying by living in a hostel run by the government. They will not be entitled to benefit under the said scheme.
- Must have Vaidya Bhamashah card and Aadhaar card.
- The girl student should be a native of Rajasthan.","- Annual financial assistance of Rs. 5,000/- is provided for 10 months at the rate of Rs.500/- per month.","- Applicant to log in to RajSSO Portal using his/her SSOID.
- If SSOID is not available then the applicant to first register on RajSSO Portal to create SSOID and update SSO Profile at first login.
- After successful authentication/login and updation of the SSOID Profile and select the scheme name.
- Select his/her name, the bank account and fill in personal details.
- Upload the required document.
- Click the “SUBMIT” button.",,https://sso.rajasthan.gov.in/register
,https://www.myscheme.gov.in/schemes/fae-gbocwwb,"Through the ""Financial Assistance for Education (GBOCWWB)"" scheme, the worker registered with the Board is provided with financial assistance, as determined by the Board, for the education of their children. The applications are accepted offline.","- The applicant should be a Worker registered with the Goa Building and Other Construction Workers Welfare Board.
- The worker should be between 18 to 60 years of age.
- The worker should have completed ninety days of service as a registered worker in the year.
- The ward of the worker should be pursuing education.",,,,https://labour.goa.gov.in/wp-content/uploads/2020/07/Scheme-8-Financial-Assistance-For-Education.pdf
,https://www.myscheme.gov.in/schemes/fatyg,The scheme aims to promote self-employment & entrepreneurship among rural youth by providing financial support. Financial assistance is provided to Mangal Dals affiliated with the department to help them start employment-oriented projects in 18 identified business sectors.,"- The applicant must be a Mangal Dal affiliated with the Youth Welfare and PRD Department of Uttarakhand.
- The members of Mangal Dal must be permanent residents of Uttarakhand.
- The applicant (Mangal Dal) must not have benefited previously under the scheme.","- Dairy Production – ₹1,00,000/-
- Tent Utensil Rental – ₹50,000/-
- Sound System Rental – ₹50,000/-
- Flour Mill Setup – ₹50,000/-
- Photocopy/Fax/Lamination Machine – ₹1,00,000/-
- Mushroom/Vegetable/Flower Cultivation – ₹50,000/-
- Handloom/Woolen Items Production Equipment – ₹50,000/-
- Adventure Sports Equipment – ₹4,00,000/-
- Tailoring/Beauty Parlor Equipment – ₹50,000/-
- Organic Fertilizer/Animal Feed Production – ₹50,000/-
- Fruit Preservation Unit – ₹50,000/-
- Animal Husbandry – ₹50,000/-
- Cultural Instrument Purchase – ₹50,000/-
- Electronics Repairs/Works – ₹50,000/-
- Vehicle Repair Work – ₹50,000/-
- Plumbing Work – ₹10,000/-
- Mobile Phone Repair – ₹12,000/-
- Innovative Projects – ₹1,50,000/-","- To avail of financial assistance, interested Yuvak/Mahila Mangal Dal members must obtain an application form from the Youth Welfare and PRD office.
- The application must include a group photo of all team members, a description or work plan of the business they intend to undertake, details regarding the availability of a building or land for the business, and a certified estimate of potential expenses. In addition, the application should contain the team’s registration number, names of all team members, their birth certificates, educational qualification certificates, permanent residence certificates, the team’s bank account details, and any training or experience certificates related to the business. Details of the family’s monthly income from all sources must also be submitted.
- All completed applications are to be submitted to the District Youth Welfare and PRD Officer through the Regional Youth Welfare and PRD Officer.
- The District Officer will conduct a site inspection and forward the proposal along with their recommendation to the District Magistrate. For the purpose of selection and monitoring, the list of recommended youth groups will be sent to the Director, Youth Welfare and PRD Directorate, who will select a minimum of two beneficiary youth groups from each district and provide financial assistance within the allocated budget.
- The approved amount will be transferred directly to the bank account of the group.",,
,https://www.myscheme.gov.in/schemes/fesg,"The ""Foreign Education Scheme"" provides financial assistance for non-reserved category students pursuing higher education abroad after Standard 12.","- The applicant must belong to a unreserved category.
- The applicant must have scored 60% or more in Standard 12.
- The applicant must have secured admission to an MBBS, graduation, post-graduation, or equivalent diploma course abroad.
- The applicant’s family's annual income must be ₹6,00,000/- or less.","- For loans of total loan amount of ₹7,50,000/- or less for the entire course, a charge of one and a half times the loan amount will have to be registered on the beneficiary's own property or that of a relative.
- If the total loan amount for the entire course is more than ₹7,50,000/-, the immovable property of oneself or any other relative equal to that total amount will have to be mortgaged in favor of the Corporation.
- In case of total loan up to ₹5,00,000/-, it will have to be repaid in equal monthly installments over 5 (five) years, 1 year after completion of studies.
- In case of loan exceeding ₹5,00,000/-, it will have to be repaid in equal monthly installments over 6 (six) years, starting 1 year after completion of studies.
- The money from the loan being repaid will continue to be deposited as interest first.
- The borrower can repay the loan even before the specified time limit.",,,https://esamajkalyan.gujarat.gov.in/ViewApplicationStatus.aspx
,https://www.myscheme.gov.in/schemes/free-ug-students-only,"The scheme ""Freeship Less than ₹1,00,000 only for UG students"" by the Dean Student Welfare, GBPUAT, Pantnagar aims to support meritorious undergraduate students from low-income families. This Freeship scheme provides full tuition fee exemption to eligible students.","- The applicant should be enrolled as an undergraduate student at Govind Ballabh Pant University.
- The applicant’s annual family income should be less than ₹1,00,000.
- The applicant must be among the best-performing students as per the university’s merit guidelines.
- The applicant must submit the application in the prescribed format within the deadline.",,,,
,https://www.myscheme.gov.in/schemes/freeship-ug-students-only,"The scheme ""Freeship Less than ₹1,00,000 only for UG students"" by the Dean Student Welfare, GBPUAT, Pantnagar aims to support meritorious undergraduate students from low-income families. This Freeship scheme provides full tuition fee exemption to eligible students.","- The applicant should be enrolled as an undergraduate student at Govind Ballabh Pant University.
- The applicant’s annual family income should be less than ₹1,00,000.
- The applicant must be among the best-performing students as per the university’s merit guidelines.
- The applicant must submit the application in the prescribed format within the deadline","- Eligible students get a 100% tuition fee waiver.
- Aims to reduce the financial burden on low-income families and encourage academic excellence.
- The fee waiver is directly applied during fee processing.
- Granted once every academic year, at the beginning of the session.
- Disbursed after the final selection list is approved by the Registrar and Vice Chancellor.
- Validity:",,,
,https://www.myscheme.gov.in/schemes/issoel,"The scheme ""Interest Subsidy Scheme on Education Loan"" by the Education Department, Gujarat, aims to provide financial support to students by offering 100% interest subsidy on education loans.","- The applicant must be a resident of Gujarat.
- The applicant must be a student.
- The applicant must have passed HSC (Higher Secondary Certificate) with at least 60 percentile.
- The applicant must have taken an education loan from a recognized bank for pursuing higher education in India or abroad.
- The applicant must have a family income not exceeding ₹6,00,000/- per year.","- Interest Subsidy Assistance: 100% interest subsidy on education loans up to ₹10,00,000/- for the moratorium period (course duration + 1 year).",,,https://kcg.gujarat.gov.in/education_loan/pdf/How%20to%20Apply-English.pdf
,https://www.myscheme.gov.in/schemes/laptopmeghalaya,"The aims to award laptops to meritorious students of Board Examination. Through this scheme, laptops are provided to eligible students who meet the published merit criteria.","- The applicant must have studied in the State of Meghalaya; or the applicant should be a resident of Meghalaya who studied outside the State.
- The applicant must have topped in the respective Annual School Board Examinations in a particular year.
- The applicant must have passed the examinations conducted only by:
- Meghalaya Board of School Education (MBOSE);
- Council for the Indian School Certificate Examinations (CISCE);
- Central Board for School Education (CBSE).
- The applicant must have appeared in Class X or Class XII Annual Board Examinations of the above-mentioned Boards/Council.
- The applicant of Class X of CBSE Board shall be selected as per Section 3 II (a) .
- For Class XII, the applicant should have topped in any stream, namely Arts, Commerce or Science.
- For Class X (MBOSE), the applicant who is a subject topper in Mathematics, Science or Computer Application shall also be eligible for the award.
- For Class XII (MBOSE), the applicant who is a subject topper in Physics, Chemistry, Mathematics, Computer Application or Biology shall also be eligible for the award.
- The applicant whose name appears as an MBOSE top ranker as well as a subject topper (in one or more subjects) shall be eligible for only one award in a particular year.
- However, in recognition of such achievement, the applicant shall be awarded a Laptop of configuration higher than those of other awardees.",- The eligible student will be awarded a laptop.,"- The applicant should check the probable list of meritorious students eligible for the IT Award.
- If the applicant has scored marks equal to or more than the last student in the published list but the name does not appear, the applicant should approach the Directorate of Information Technology & Communications, Meghalaya, Shillong.
- The applicant should submit the original Mark Sheet, Identity Proof and other relevant documents for verification.
- The applicant may submit claims or objections, if any, in writing on or before closing date.
- The process concludes upon completion of registration and verification by the Directorate.",,https://megedistrict.gov.in/renderApplicationForm.do?serviceId=12960005&UUID=2d25b33d-9b80-4950-9b8b-8fb1f2845366&directService=true&tempId=5187&serviceNameToDisplay=Registration+for+IT+Awards+for+Meritorious+Students+2025&grievDefined=0&serviceLinkRequired=No&userLoggedIn=N&source=CTZN&OWASP_CSRFTOKEN=EWQU-J0G2-VHX3-S9B1-NX57-5YCO-I79S-ZQNR
,https://www.myscheme.gov.in/schemes/mhvs-hte,"Under this scheme, the State Government provides financial assistance to eligible boys and girls enrolled under the Palanhar Scheme to pursue higher or technical education, based on their qualifications and interest in employment-oriented courses.","- The applicant should be a beneficiary under the Palanhar Scheme of Rajasthan.
- The applicant should have completed 15 years of age.
- The applicant’s maximum age should not exceed 21 years or till course completion (whichever is earlier).
- The applicant should be pursuing education from a university/college/technical educational institution recognized by the Government of India/State Government.
- Financial assistance is applicable for regular higher or technical education at the graduate or postgraduate level.
- The applicant should not be receiving any scholarships or grants for higher/technical education from the Central or State Government.","- Financial assistance for career-oriented higher or technical education (graduation/post-graduation courses).
- Reimbursement of the actual course fee through bank account transfer.",,,https://sje.rajasthan.gov.in/siteadmin/Uploads/202402231257087804.pdf
,https://www.myscheme.gov.in/schemes/msk,"The scheme aims to provide educational financial support to minority community students in Kerala. It offers ₹1,500/- annual scholarship to eligible students from Class 1st to Class 8th studying in government and government-aided schools.","- The applicant must be a permanent resident of Kerala.
- The applicant must be studying in Class 1st to Class 8th.
- The applicant must be studying in a Government or Government-aided school.
- The applicant must belong to a minority religious community (Hindu, Christian (all denominations), Sikh, Buddhist, Jain, or Parsi).
- The applicant's family annual income must not exceed ₹2,50,000/-.
- 30% scholarships are reserved for female students.
- The applicant (male students) may be considered for female-reserved positions if adequate female applications are not received.
- PwD: The applicant should provide disability certificate if having 40% and above physical/mental disability.
- Orphan: The applicant should provide death certificate if orphaned (father/mother/both parents deceased).
- The applicant must reapply fresh each academic year to continue receiving benefits.
- The applicant must maintain eligibility criteria throughout the benefit period.
- The applicant must not provide false declarations as it will result in immediate scholarship cancellation and recovery of disbursed amount.","- Scholarship amount of ₹1,500/- per student per academic year.
- One-time Direct Benefit Transfer (DBT) to Aadhaar-linked bank accounts in the name of selected students.
- The beneficiary must maintain an active Aadhaar-linked bank account with a nationalized or scheduled bank in their own name for Direct Benefit Transfer.
- The beneficiary must provide accurate banking details to the institutional head for successful fund transfer.
- The beneficiary must not receive any other scholarship benefits under other schemes simultaneously while availing this scholarship.
- The beneficiary must apply fresh each academic year if they wish to continue receiving the scholarship in subsequent years.
- The beneficiary must cooperate with institutional verification processes and provide original documents when requested by authorities.
- The beneficiary must immediately inform the institutional head of any change in circumstances that may affect eligibility.
- The beneficiary must return the entire scholarship amount if found guilty of providing false declarations or fraudulent information.","- Go to the official Margadeepam Scholarship portal and select ""Official Login"" from the dropdown menu.
- Log in using the last 5 digits of your Sampoorna School Code as both the username and password, then enter the captcha.
- You will be prompted to reset your password. Choose a new one and proceed to the Institution's Home Page.
- First, navigate to the ""Add Course in Institution"" menu and add all available classes (1 to 8).
- Next, go to the ""Add Student"" menu, enter the student's Admission Number, and click ""Get Details from Sampoorna"" to fetch their information.
- Ensure the Aadhaar Number, Admission Number, and Account Number are unique, as data cannot be edited after it is added.
- Click on the ""Add Scholarship Criteria"" menu to see a list of students who need details added.
- Select a student from the list and click ""Add Criteria"" to enter the required information.
- Fill in all necessary details, which include family income and academic grades.
- After entering the scholarship criteria, go to the ""Apply for Scholarship"" menu and select a class.
- A list of eligible students will be displayed; untick any students you do not wish to include in the submission.
- Review the list, tick the certification mark to confirm the details are correct, and click ""Process Application"" to submit.
- To check the status of submitted applications, view the list under the ""Submitted Applications"" menu.
- This list shows all applications that are awaiting verification by the Directorate.
- You can also view a list of students who received scholarships in previous years by clicking on ""View Selected List"".",,https://margadeepam.kerala.gov.in/files/APPLICATION%20FORM%20MARGADEEPAM%202025-26.pdf
,https://www.myscheme.gov.in/schemes/mukhopadhyaystudentfunduk,"The scheme aims to provide financial assistance of ₹25,000/- per year to meritorious & needy students pursuing B.Sc. Agriculture course in their final year of study, based on their genuine financial need, thereby helping to reduce their economic burden & support the continuation of their education.","- The applicant must be a student in need of financial support to continue their education.
- The applicant must be enrolled in the final year of the B.Sc. Agriculture course at Govind Ballabh Pant University of Agriculture and Technology, Pantnagar.
- The financial assistance is awarded for a duration of one year only.",,,,
,https://www.myscheme.gov.in/schemes/nkcj,"The ""Nursing Skill College"" scheme provides skill-based nursing education and employment opportunities to young women, especially from disadvantaged backgrounds. The scheme offers free residential training, modern learning facilities, and placement support.","- The applicant must be a resident of Jharkhand.
- The applicant must be between 18-30 years of age.
- The applicant must have passed the 12th grade in any stream.","- Free residential training in nursing for two years (ANM course)
- 100% campus placement assistance after course completion
- Safe and modern campus with advanced simulation labs
- Free 15-day residential coaching for JCECEB nursing entrance exam
- Practical training in ICU simulation labs, geriatric care, and home nursing","- Go to the official PREJHA Foundation application portal: https://app.prejha.org/anm-home.php ﻿
- Click on the ""Apply"" button.
- Fill out the first form with the personal details, including Full Name, Mobile Number, Aadhar Number, Date of Birth, etc.
- Select ""Nursing Kaushal College (ANM) Entrance Exam"" as your desired course and answer the questions regarding the course.
- Click on the ""Next"" button to move to the second part of the application.
- Fill in any remaining required details on the second form and upload the necessary documents Photograph and Aadhaar Card.
- Click the ""Submit"" button to finalize your application.
- Upon successful submission, the applicant should receive the JCECEB Registration number. Keep this number safe for future reference.
- Candidates must clear the JCECEB entrance exam and attend a personal counseling session. ﻿ ﻿",,
,https://www.myscheme.gov.in/schemes/nsych,Chhattisgarh Naunihal Scholarship Scheme has been started by the Government of Chhattisgarh in 2017.,"- Applicant should be resident of Chhattisgarh.
- Only two children from a same will get the benefits.
- There is no requirement for a specific grade to obtain the scholarship
- There will be no requirement of marks to avail the benefits of the scheme.
- After admission in college/polytechnic or other course for engineering or medical education, the students receiving scholarship amount under this scheme will be required to study for minimum 1 year in that course. In case of first year dropout, the scholarship amount will have to be returned.
- The beneficiary should have worked as a construction worker for at least 90 days in the period of one year before the date of application.",,"- The registered construction worker can submit the online application through labor office of the concerned area.
- Online application will be submitted from the date of commencement of the academic session till 31st December.
- Necessary documents to be attached with the application while applying online under the scheme: -
- Original scanned copy of the beneficiary's surviving labor registration identity card.
- Original scanned copy of Aadhaar card of sons/daughters of beneficiary workers.
- Original scanned copy of the certificate issued by the Principal in the prescribed format. (In the notified form in which the issued certificate bears the simple number and date and is confirmation of admission in the current year of study.)
- Original scanned copy of the mark sheet of previous class passed.
- Original scanned copy of bank passbook.",,https://cglabour.nic.in/BOCW/ApplicationSchemes.aspx
